"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_config","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_framework","",""
"","0","test_selenium_element_satisfies_protocol","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_drivers","",""
"","1","test_cli_missing_key_returns_2","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_client","",""
"","1","test_env_interpolation_is_recursive","tests.internal_tests","2026-06-29","passed","2026-06-29","TestLoadConfig","test_config_loader","",""
"","0","test_get_config_path_default","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_helpers","",""
"","314","test_list_categories","tests.api_tests","2026-06-29","passed","2026-06-29","TestCatalogApi","test_categories","",""
"","1","test_custom_field_names_are_configurable","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","1","test_full_case_front_matter","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","1","test_missing_required_field_raises","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","1","test_empty_precondition_renders_placeholder","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","1","test_load_config_from_cli_raises_on_invalid","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_config_schema","",""
"","1","test_post_sends_json_body","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_api_client","",""
"","394","test_login_returns_a_token","tests.api_tests","2026-06-29","passed","2026-06-29","TestAuthApi","test_auth","",""
"","1","test_get_builds_url_and_sends_accept_header","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_api_client","",""
"","1","test_optional_fields_omitted_when_absent","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","1","test_retry_retries_web_exception_then_passes","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_retry","",""
"","11","test_core_does_not_import_optional_layers","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_layering","",""
"","0","test_priority_to_severity[None-normal]","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","0","test_schema_rejects_toolshop_without_web_url","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_config_schema","",""
"","1","test_invalid_yaml_raises_config_error","tests.internal_tests","2026-06-29","passed","2026-06-29","TestLoadConfig","test_config_loader","",""
"","711","test_get_single_product","tests.api_tests","2026-06-29","passed","2026-06-29","TestProductsApi","test_products","",""
"","0","test_key_only_in_override_is_added","tests.internal_tests","2026-06-29","passed","2026-06-29","TestMergeConfigs","test_config_loader","",""
"","0","test_priority_to_severity[normal-normal]","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_normalize","",""
"","0","test_create_driver_roadmap_framework_raises","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_drivers","",""
"","1","test_get_testcase_builds_url_and_sends_api_key","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_testiny_client","",""
"","0","test_retry_does_not_mask_assertion_error","tests.internal_tests","2026-06-29","passed","2026-06-29","","test_retry","",""
